date_heure,code_segment,nom_segment,type_route,condition_meteo,pluie_mm,temperature_c,volume_vehicules,vitesse_moyenne_kmh,vitesse_libre_kmh,indice_congestion,niveau_service,densite_vehicules_km,temps_parcours_min,temps_reference_min,delai_supplementaire_min,longueur_bouchon_km,flag_incident,lat_centre,lon_centre
2023-01-04 05:45:00,OSM_732142580_732152596_0,Route Deido Bonanjo (N°1.705),Avenue principale,Pluie legere,0.2,23.9,5,50.0,50.0,1.0,A,14.61,0.41,0.41,0.0,0.0,False,4.071942109226916,9.715307397211689
2023-01-04 07:10:00,OSM_732152596_732142580_0,Route Deido Bonanjo (N°1.705),Avenue principale,Nuageux,0.0,24.0,47,33.44,50.0,1.4954,C,137.338,0.61,0.41,0.2,0.0,False,4.071942109226916,9.715307397211689
2023-01-04 07:15:00,OSM_732144409_5815641857_0,Route Cimitière Ndokoti,Rue secondaire,Nuageux,0.0,24.0,17,18.79,30.0,1.5967,C,38.356,1.42,0.89,0.53,0.0,False,4.046215965881986,9.738026671684011
2023-01-04 08:55:00,OSM_4443408474_732128797_0,Rue 4.515 bonaberi,Rue secondaire,Nuageux,0.0,25.0,16,19.08,30.0,1.5723,C,49.006,1.03,0.65,0.38,0.0,False,4.096836177277344,9.656973715929103
2023-01-04 09:20:00,OSM_732142580_732152596_0,Route Deido Bonanjo (N°1.705),Avenue principale,Nuageux,0.0,26.8,38,34.93,50.0,1.4316,C,111.039,0.59,0.41,0.18,0.0,False,4.071942109226916,9.715307397211689
2023-01-04 13:55:00,OSM_12507372401_732136716_0,Rue de Deido Bassa(N°1.878),Avenue principale,Ensoleille,0.1,32.8,29,35.95,50.0,1.3909,B,92.002,0.53,0.38,0.15,0.0,False,4.052926324595441,9.736677095783838
2023-01-04 17:30:00,OSM_12507372401_732136716_0,Rue de Deido Bassa(N°1.878),Avenue principale,Nuageux,0.0,28.2,47,31.0,50.0,1.6128,C,149.106,0.61,0.38,0.23,0.0,False,4.052926324595441,9.736677095783838
2023-01-04 17:35:00,OSM_732124701_1836919930_1,Rue Bonanjo Joss (N°1.093),Rue secondaire,Nuageux,0.0,28.2,18,17.78,30.0,1.6874,C,57.396,1.06,0.63,0.43,0.0,False,4.044419662883311,9.689265781942767
2023-01-04 20:10:00,OSM_732140608_5818159526_0,Rue de Deido Bassa(N°1.878),Avenue principale,Nuageux,0.0,26.6,32,35.64,50.0,1.403,B,88.452,0.61,0.43,0.18,0.0,False,4.060643721470337,9.72363283523639
2023-01-04 23:40:00,OSM_12507372401_732136716_0,Rue de Deido Bassa(N°1.878),Avenue principale,Pluie legere,0.5,26.0,8,50.0,50.0,1.0,A,25.38,0.38,0.38,0.0,0.0,False,4.052926324595441,9.736677095783838
2023-01-05 00:10:00,OSM_12507372401_732136716_0,Rue de Deido Bassa(N°1.878),Avenue principale,Nuageux,0.0,25.6,3,50.0,50.0,1.0,A,9.517,0.38,0.38,0.0,0.0,False,4.052926324595441,9.736677095783838
2023-01-05 00:35:00,OSM_5818159523_5815859983_0,Rue de Deido Bassa(N°1.878),Avenue principale,Nuageux,0.0,25.6,3,50.0,50.0,1.0,A,8.243,0.44,0.44,0.0,0.0,False,4.06069533139234,9.72367315136712
2023-01-05 01:25:00,OSM_732144409_5815641857_0,Route Cimitière Ndokoti,Rue secondaire,Nuageux,0.0,25.4,0,30.0,30.0,1.0,A,0.0,0.89,0.89,0.0,0.0,False,4.046215965881986,9.738026671684011
2023-01-05 02:30:00,OSM_1836919930_732124701_1,Rue Bonanjo Joss (N°1.093),Rue secondaire,Pluie legere,0.4,25.0,0,30.0,30.0,1.0,A,0.0,0.63,0.63,0.0,0.0,False,4.044419662883315,9.68926578194277
2023-01-05 02:35:00,OSM_5339184395_5818023127_0,Ancienne Route du Pont du Wouri,Rue secondaire,Pluie legere,0.4,25.0,0,30.0,30.0,1.0,A,0.0,3.44,3.44,0.0,0.0,False,4.071434856210292,9.696362126407571
2023-01-05 02:40:00,OSM_12507372401_732136716_0,Rue de Deido Bassa(N°1.878),Avenue principale,Pluie legere,0.4,25.0,2,50.0,50.0,1.0,A,6.345,0.38,0.38,0.0,0.0,False,4.052926324595441,9.736677095783838
2023-01-05 03:35:00,OSM_732149443_732137258_0,Rue Ernest Betote Akwa (N° 1.358),Rue secondaire,Pluie legere,2.0,23.9,0,30.0,30.0,1.0,A,0.0,0.76,0.76,0.0,0.0,False,4.047682565131345,9.697795325425869
2023-01-05 03:50:00,OSM_732149443_732137258_0,Rue Ernest Betote Akwa (N° 1.358),Rue secondaire,Pluie legere,2.0,23.9,0,30.0,30.0,1.0,A,0.0,0.76,0.76,0.0,0.0,False,4.047682565131345,9.697795325425869
2023-01-05 04:05:00,OSM_732152277_4510467495_0,Rue de New Bell,Avenue principale,Pluie legere,1.2,23.4,1,50.0,50.0,1.0,A,2.758,0.44,0.44,0.0,0.0,False,4.035541799867914,9.70452263787373
2023-01-05 06:15:00,OSM_5818159523_5815859983_0,Rue de Deido Bassa(N°1.878),Avenue principale,Ensoleille,0.1,23.1,26,39.72,50.0,1.2589,B,71.443,0.55,0.44,0.11,0.0,False,4.06069533139234,9.72367315136712
2023-01-05 06:25:00,OSM_732144409_5815641857_0,Route Cimitière Ndokoti,Rue secondaire,Ensoleille,0.1,23.1,8,27.35,30.0,1.0969,A,18.05,0.97,0.89,0.08,0.0,False,4.046215965881986,9.738026671684011
2023-01-05 08:05:00,OSM_732140608_5818159526_0,Rue de Deido Bassa(N°1.878),Avenue principale,Nuageux,0.0,23.9,47,34.99,50.0,1.4291,B,129.914,0.62,0.43,0.19,0.0,False,4.060643721470337,9.72363283523639
2023-01-05 09:15:00,OSM_732142580_732152596_0,Route Deido Bonanjo (N°1.705),Avenue principale,Nuageux,0.0,24.9,43,28.04,50.0,1.7832,C,125.65,0.73,0.41,0.32,0.0,False,4.071942109226916,9.715307397211689
2023-01-05 10:30:00,OSM_732140608_5818159526_0,Rue de Deido Bassa(N°1.878),Avenue principale,Ensoleille,0.1,25.8,34,40.15,50.0,1.2452,B,93.98,0.54,0.43,0.11,0.0,False,4.060643721470337,9.72363283523639
2023-01-05 10:30:00,OSM_5339184403_5745440187_0,Pont Routier du Wouri vers Deido,Voie rapide,Ensoleille,0.1,25.8,68,53.89,70.0,1.299,B,29.805,2.54,1.96,0.58,0.0,False,4.070711271194256,9.6950237471281
2023-01-05 11:10:00,OSM_4510467495_732152277_0,Rue de New Bell,Avenue principale,Ensoleille,0.1,27.5,31,33.23,50.0,1.5046,C,85.502,0.65,0.44,0.21,0.0,False,4.035541799867914,9.70452263787373
2023-01-05 11:55:00,OSM_12507372401_732136716_0,Rue de Deido Bassa(N°1.878),Avenue principale,Ensoleille,0.1,27.5,31,35.41,50.0,1.4121,B,98.347,0.53,0.38,0.15,0.0,False,4.052926324595441,9.736677095783838
2023-01-05 13:40:00,OSM_732142580_732152596_0,Route Deido Bonanjo (N°1.705),Avenue principale,Nuageux,0.0,30.5,52,35.49,50.0,1.4087,B,151.949,0.58,0.41,0.17,0.0,False,4.071942109226916,9.715307397211689
2023-01-05 17:30:00,OSM_4443408474_732128797_0,Rue 4.515 bonaberi,Rue secondaire,Nuageux,0.0,27.6,21,20.12,30.0,1.4911,C,64.32,0.97,0.65,0.32,0.0,False,4.096836177277344,9.656973715929103
2023-01-05 18:40:00,OSM_732144409_5815641857_0,Route Cimitière Ndokoti,Rue secondaire,Nuageux,0.0,27.0,18,18.29,30.0,1.6404,C,40.613,1.45,0.89,0.56,0.0,False,4.046215965881986,9.738026671684011
2023-01-05 18:45:00,OSM_5745440186_5339184402_0,Pont sur le Wouri vers Bonaberi,Voie rapide,Nuageux,0.0,27.0,92,37.67,70.0,1.8583,C,40.143,3.65,1.96,1.69,0.0,False,4.070835752715689,9.695075256155985
2023-01-05 20:25:00,OSM_732142580_732152596_0,Route Deido Bonanjo (N°1.705),Avenue principale,Nuageux,0.0,26.4,33,40.59,50.0,1.2319,B,96.429,0.51,0.41,0.1,0.0,False,4.071942109226916,9.715307397211689
2023-01-06 00:20:00,OSM_732134229_732146019_0,Rue de Deido Bassa(N°1.878),Avenue principale,Nuageux,0.0,24.3,4,50.0,50.0,1.0,A,7.048,0.68,0.68,0.0,0.0,False,4.04734654424766,9.742499590544387
2023-01-06 02:05:00,OSM_732137258_732149443_0,Rue Ernest Betote Akwa (N° 1.358),Rue secondaire,Nuageux,0.0,25.6,0,30.0,30.0,1.0,A,0.0,0.76,0.76,0.0,0.0,False,4.047682565131344,9.697795325425869
2023-01-06 05:20:00,OSM_732134229_732146019_0,Rue de Deido Bassa(N°1.878),Avenue principale,Pluie legere,1.1,23.1,8,50.0,50.0,1.0,A,14.095,0.68,0.68,0.0,0.0,False,4.04734654424766,9.742499590544387
2023-01-06 05:40:00,OSM_5818023127_5339184395_0,Ancienne Route du Pont du Wouri,Rue secondaire,Pluie legere,1.1,23.1,2,30.0,30.0,1.0,A,1.163,3.44,3.44,0.0,0.0,False,4.071434856210289,9.696362126407571
2023-01-06 12:40:00,OSM_5745440186_5339184402_0,Pont sur le Wouri vers Bonaberi,Voie rapide,Ensoleille,0.1,30.0,73,45.81,70.0,1.5282,C,31.852,3.0,1.96,1.04,0.0,False,4.070835752715689,9.695075256155985
2023-01-06 14:55:00,OSM_5339184403_5745440187_0,Pont Routier du Wouri vers Deido,Voie rapide,Pluie legere,0.4,31.2,70,44.07,70.0,1.5885,C,30.682,3.11,1.96,1.15,0.0,False,4.070711271194256,9.6950237471281
2023-01-06 16:10:00,OSM_5818023127_5339184395_0,Ancienne Route du Pont du Wouri,Rue secondaire,Ensoleille,0.1,29.4,20,17.69,30.0,1.6961,C,11.632,5.83,3.44,2.39,0.0,False,4.071434856210289,9.696362126407571
2023-01-06 18:30:00,OSM_5815641857_732144409_0,Route Cimitière Ndokoti,Rue secondaire,Nuageux,0.0,27.0,23,15.68,30.0,1.9135,C,51.894,1.7,0.89,0.81,0.0,False,4.046215965881986,9.738026671684011
2023-01-06 19:00:00,OSM_12507372401_732136716_0,Rue de Deido Bassa(N°1.878),Avenue principale,Nuageux,0.0,26.7,42,37.38,50.0,1.3375,B,133.244,0.51,0.38,0.13,0.0,False,4.052926324595441,9.736677095783838
2023-01-07 03:55:00,OSM_5339184395_5818023127_0,Ancienne Route du Pont du Wouri,Rue secondaire,Nuageux,0.0,24.0,0,30.0,30.0,1.0,A,0.0,3.44,3.44,0.0,0.0,False,4.071434856210292,9.696362126407571
2023-01-07 05:15:00,OSM_732152277_4510467495_0,Rue de New Bell,Avenue principale,Nuageux,0.0,23.3,3,50.0,50.0,1.0,A,8.274,0.44,0.44,0.0,0.0,False,4.035541799867914,9.70452263787373
2023-01-07 09:25:00,OSM_732128797_4443408474_0,Rue 4.515 bonaberi,Rue secondaire,Pluie legere,0.2,27.0,11,22.59,30.0,1.3279,B,33.692,0.87,0.65,0.22,0.0,False,4.0968361772773445,9.656973715929103
2023-01-07 12:05:00,OSM_732137258_732149443_0,Rue Ernest Betote Akwa (N° 1.358),Rue secondaire,Nuageux,0.0,30.8,11,21.9,30.0,1.3699,B,28.986,1.04,0.76,0.28,0.0,False,4.047682565131344,9.697795325425869
2023-01-07 15:25:00,OSM_5815641857_732144409_0,Route Cimitière Ndokoti,Rue secondaire,Nuageux,0.0,29.5,10,28.54,30.0,1.0512,A,22.563,0.93,0.89,0.04,0.0,False,4.046215965881986,9.738026671684011
2023-01-07 15:30:00,OSM_732152277_4510467495_0,Rue de New Bell,Avenue principale,Nuageux,0.0,29.5,25,42.73,50.0,1.1701,B,68.953,0.51,0.44,0.07,0.0,False,4.035541799867914,9.70452263787373
2023-01-07 15:30:00,OSM_732142580_732152596_0,Route Deido Bonanjo (N°1.705),Avenue principale,Nuageux,0.0,29.5,29,36.47,50.0,1.371,B,84.741,0.56,0.41,0.15,0.0,False,4.071942109226916,9.715307397211689
2023-01-07 17:50:00,OSM_4510467495_732152277_0,Rue de New Bell,Avenue principale,Nuageux,0.0,28.0,41,34.44,50.0,1.4519,C,113.083,0.63,0.44,0.19,0.0,False,4.035541799867914,9.70452263787373
2023-01-07 18:40:00,OSM_732149443_732137258_0,Rue Ernest Betote Akwa (N° 1.358),Rue secondaire,Ensoleille,0.0,27.0,10,27.42,30.0,1.0942,A,26.351,0.83,0.76,0.07,0.0,False,4.047682565131345,9.697795325425869
2023-01-07 23:15:00,OSM_1836919930_732124701_1,Rue Bonanjo Joss (N°1.093),Rue secondaire,Nuageux,0.0,24.7,3,30.0,30.0,1.0,A,9.566,0.63,0.63,0.0,0.0,False,4.044419662883315,9.68926578194277
2023-01-08 00:35:00,OSM_12507372401_732136716_0,Rue de Deido Bassa(N°1.878),Avenue principale,Nuageux,0.0,24.4,1,50.0,50.0,1.0,A,3.172,0.38,0.38,0.0,0.0,False,4.052926324595441,9.736677095783838
2023-01-08 01:10:00,OSM_732134229_732146019_0,Rue de Deido Bassa(N°1.878),Avenue principale,Nuageux,0.0,24.9,1,50.0,50.0,1.0,A,1.762,0.68,0.68,0.0,0.0,False,4.04734654424766,9.742499590544387
2023-01-08 01:50:00,OSM_732152596_732142580_0,Route Deido Bonanjo (N°1.705),Avenue principale,Nuageux,0.0,24.9,1,50.0,50.0,1.0,A,2.922,0.41,0.41,0.0,0.0,False,4.071942109226916,9.715307397211689
2023-01-08 03:30:00,OSM_5339184403_5745440187_0,Pont Routier du Wouri vers Deido,Voie rapide,Ensoleille,0.1,24.5,1,70.0,70.0,1.0,A,0.438,1.96,1.96,0.0,0.0,False,4.070711271194256,9.6950237471281
2023-01-08 05:05:00,OSM_5815641857_732144409_0,Route Cimitière Ndokoti,Rue secondaire,Pluie legere,0.2,23.9,0,30.0,30.0,1.0,A,0.0,0.89,0.89,0.0,0.0,False,4.046215965881986,9.738026671684011
2023-01-08 07:00:00,OSM_732152277_4510467495_0,Rue de New Bell,Avenue principale,Nuageux,0.0,24.2,19,50.0,50.0,1.0,A,52.404,0.44,0.44,0.0,0.0,False,4.035541799867914,9.70452263787373
2023-01-08 07:55:00,OSM_732144409_5815641857_0,Route Cimitière Ndokoti,Rue secondaire,Nuageux,0.0,24.2,6,27.24,30.0,1.1013,A,13.538,0.98,0.89,0.09,0.0,False,4.046215965881986,9.738026671684011
2023-01-08 09:10:00,OSM_5815641857_732144409_0,Route Cimitière Ndokoti,Rue secondaire,Ensoleille,0.1,26.1,6,30.0,30.0,1.0,A,13.538,0.89,0.89,0.0,0.0,False,4.046215965881986,9.738026671684011
2023-01-08 09:45:00,OSM_1836919930_732124701_1,Rue Bonanjo Joss (N°1.093),Rue secondaire,Ensoleille,0.1,26.1,9,27.03,30.0,1.11,B,28.698,0.7,0.63,0.07,0.0,False,4.044419662883315,9.68926578194277
2023-01-08 11:00:00,OSM_5745440186_5339184402_0,Pont sur le Wouri vers Bonaberi,Voie rapide,Nuageux,0.0,29.1,24,58.39,70.0,1.1989,B,10.472,2.36,1.96,0.4,0.0,False,4.070835752715689,9.695075256155985
2023-01-08 11:10:00,OSM_5815641857_732144409_0,Route Cimitière Ndokoti,Rue secondaire,Nuageux,0.0,29.1,6,25.33,30.0,1.1844,B,13.538,1.05,0.89,0.16,0.0,False,4.046215965881986,9.738026671684011
2023-01-08 11:30:00,OSM_5745440186_5339184402_0,Pont sur le Wouri vers Bonaberi,Voie rapide,Nuageux,0.0,29.1,20,68.17,70.0,1.0269,A,8.727,2.02,1.96,0.06,0.0,False,4.070835752715689,9.695075256155985
2023-01-08 13:00:00,OSM_732152596_732142580_0,Route Deido Bonanjo (N°1.705),Avenue principale,Pluie legere,0.2,31.2,15,50.0,50.0,1.0,A,43.831,0.41,0.41,0.0,0.0,False,4.071942109226916,9.715307397211689
2023-01-08 17:55:00,OSM_732142580_732152596_0,Route Deido Bonanjo (N°1.705),Avenue principale,Ensoleille,0.0,27.6,19,43.98,50.0,1.137,B,55.52,0.47,0.41,0.06,0.0,False,4.071942109226916,9.715307397211689
2023-01-08 18:15:00,OSM_732128797_4443408474_0,Rue 4.515 bonaberi,Rue secondaire,Ensoleille,0.0,27.0,5,28.5,30.0,1.0526,A,15.314,0.69,0.65,0.04,0.0,False,4.0968361772773445,9.656973715929103
2023-01-08 18:40:00,OSM_5339184403_5745440187_0,Pont Routier du Wouri vers Deido,Voie rapide,Ensoleille,0.0,27.0,33,51.97,70.0,1.347,B,14.464,2.63,1.96,0.67,0.0,False,4.070711271194256,9.6950237471281
2023-01-09 00:00:00,OSM_1836919930_732124701_1,Rue Bonanjo Joss (N°1.093),Rue secondaire,Nuageux,0.0,24.6,1,30.0,30.0,1.0,A,3.189,0.63,0.63,0.0,0.0,False,4.044419662883315,9.68926578194277
2023-01-09 01:45:00,OSM_732128797_4443408474_0,Rue 4.515 bonaberi,Rue secondaire,Nuageux,0.0,24.9,1,30.0,30.0,1.0,A,3.063,0.65,0.65,0.0,0.0,False,4.0968361772773445,9.656973715929103
2023-01-09 03:10:00,OSM_5745440186_5339184402_0,Pont sur le Wouri vers Bonaberi,Voie rapide,Nuageux,0.0,24.2,2,70.0,70.0,1.0,A,0.873,1.96,1.96,0.0,0.0,False,4.070835752715689,9.695075256155985
2023-01-09 04:45:00,OSM_5745440186_5339184402_0,Pont sur le Wouri vers Bonaberi,Voie rapide,Nuageux,0.0,23.9,2,70.0,70.0,1.0,A,0.873,1.96,1.96,0.0,0.0,False,4.070835752715689,9.695075256155985
2023-01-09 06:05:00,OSM_732140608_5818159526_0,Rue de Deido Bassa(N°1.878),Avenue principale,Nuageux,0.0,23.4,15,40.66,50.0,1.2298,B,41.462,0.53,0.43,0.1,0.0,False,4.060643721470337,9.72363283523639
2023-01-09 06:40:00,OSM_5818023127_5339184395_0,Ancienne Route du Pont du Wouri,Rue secondaire,Nuageux,0.0,23.4,8,30.0,30.0,1.0,A,4.653,3.44,3.44,0.0,0.0,False,4.071434856210289,9.696362126407571
2023-01-09 08:35:00,OSM_1836919930_732124701_1,Rue Bonanjo Joss (N°1.093),Rue secondaire,Ensoleille,0.1,24.5,21,17.4,30.0,1.7241,C,66.962,1.08,0.63,0.45,0.0,False,4.044419662883315,9.68926578194277
2023-01-09 08:50:00,OSM_732152277_4510467495_0,Rue de New Bell,Avenue principale,Ensoleille,0.1,24.5,60,31.88,50.0,1.5686,C,165.487,0.68,0.44,0.24,0.0,False,4.035541799867914,9.70452263787373
2023-01-09 09:55:00,OSM_732152596_732142580_0,Route Deido Bonanjo (N°1.705),Avenue principale,Ensoleille,0.1,25.7,37,31.31,50.0,1.5969,C,108.117,0.66,0.41,0.25,0.0,False,4.071942109226916,9.715307397211689
2023-01-09 11:15:00,OSM_732149443_732137258_0,Rue Ernest Betote Akwa (N° 1.358),Rue secondaire,Ensoleille,0.1,28.6,13,20.26,30.0,1.4807,C,34.257,1.12,0.76,0.36,0.0,False,4.047682565131345,9.697795325425869
2023-01-09 13:40:00,OSM_732137258_732149443_0,Rue Ernest Betote Akwa (N° 1.358),Rue secondaire,Nuageux,0.0,30.2,15,19.54,30.0,1.5354,C,39.527,1.17,0.76,0.41,0.0,False,4.047682565131344,9.697795325425869
2023-01-09 15:10:00,OSM_4510467495_732152277_0,Rue de New Bell,Avenue principale,Nuageux,0.0,29.2,39,33.78,50.0,1.4801,C,107.567,0.64,0.44,0.2,0.0,False,4.035541799867914,9.70452263787373
2023-01-09 16:35:00,OSM_732140608_5818159526_0,Rue de Deido Bassa(N°1.878),Avenue principale,Nuageux,0.0,27.9,46,29.84,50.0,1.6754,C,127.15,0.73,0.43,0.3,0.0,False,4.060643721470337,9.72363283523639
